Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
PZ670,Obs,PZ_PZ21,,1,Lambda,22,30,2.342422681,2.337059726,,,,,,,,N,10.3390/vaccines10050714
PZ670,Obs,PZ_PZ21,,1,Delta,22,30,2.557386882,2.389520466,,,,,,,,N,10.3390/vaccines10050715
PZ670,Obs,PZ_PZ21,,1,Omicron,22,30,1.650987094,1.699056855,,,,,,,,N,10.3390/vaccines10050716
PZ670,Obs,ConvWT,,1,WT,30,26,2.585122186,2.387567779,,,,,,,,N,10.3390/vaccines10050703 
PZ670,Obs,ConvWT,,1,WT,30,26,2.236285277,2.270212855,,,,,,,,N,10.3390/vaccines10050704
PZ670,Obs,ConvWT,,1,Alpha,30,26,2.599337133,2.396548038,,,,,,,,N,10.3390/vaccines10050705
PZ670,Obs,ConvWT,,1,Gamma,30,26,2.180985581,2.293141483,,,,,,,,N,10.3390/vaccines10050706
PZ670,Obs,ConvWT,,1,Beta,30,26,1.552303109,1.669781615,,,,,,,,N,10.3390/vaccines10050707
PZ670,Obs,ConvWT,,1,B.1.258.17,30,26,1.550228353,1.610766595,,,,,,,,N,10.3390/vaccines10050708
PZ670,Obs,ConvWT,,1,C.36.3 (1),30,26,1.797059695,2.075911761,,,,,,,,N,10.3390/vaccines10050709
PZ670,Obs,ConvWT,,1,Eta,30,26,1.631748074,1.746867628,,,,,,,,N,10.3390/vaccines10050710
PZ670,Obs,ConvWT,,1,Delta,30,26,1.711807229,1.818225894,,,,,,,,N,10.3390/vaccines10050711
PZ670,Obs,ConvWT,,1,Mu,30,26,1.444513206,1.589949601,,,,,,,,N,10.3390/vaccines10050712
PZ670,Obs,ConvWT,,1,C.36.3 (2),30,26,1.791199246,2.107888025,,,,,,,,N,10.3390/vaccines10050713
PZ670,Obs,ConvWT,,1,Lambda,30,26,1.255272505,1.464489547,,,,,,,,N,10.3390/vaccines10050714
PZ670,Obs,ConvWT,,1,Delta,30,26,1.635182049,1.71222867,,,,,,,,N,10.3390/vaccines10050715
PZ670,Obs,ConvWT,,1,Omicron,30,26,0.740362689,0.183554534,,,,,,,,N,10.3390/vaccines10050716
PZ677,Obs,PZ,,1.477121255,WT,24,21,1.986247578,2.420259483,,,,,,,,N,10.1016/j.chom.2021.06.001 
PZ677,Obs,ConvWT,,1.477121255,WT,24,279,2.093887251,2.178976947,,,,,,,,N,10.1016/j.chom.2021.06.001 
PZ693,Obs,PZ_PZ21,,1.079181246,WT,76,14,,,,,2.716837723,2.413299764,3.015359755,,,N,10.1093/cid/ciab447 
PZ693,Obs,PZ_PZ21,,1.079181246,WT,90,14,,,,,2.130333768,1.431363764,2.506505032,,,N,10.1093/cid/ciab447 
PZ693,Obs,ConvNR,,1.079181246,WT,22,62,,,,,2.28780173,1.643452676,2.423245874,,,N,10.1093/cid/ciab447 
PZ695,Obs,PZ_PZ21,,0.602059991,WT,27,0,1.913813852,,1.79518459,2.030194785,,,,,,N,10.1016/j.ebiom.2021.103539 
PZ695,Obs,PZ_PZ21,,0.602059991,WT,27,28,2.80106053,,2.677515705,2.924537718,,,,,,N,10.1016/j.ebiom.2021.103539 
PZ695,Obs,ConvALP,,0.602059991,WT,14,43,2.374565061,,2.009875634,2.73933496,,,,,,N,10.1016/j.ebiom.2021.103539 
PZ699,Obs,PZ_PZ21,,1,WT,55,0,1.255272505,,1.079181246,1.431363764,,,,,,N,10.1016/j.jinf.2021.08.008 
PZ699,Obs,PZ_PZ21,,1,WT,55,17,2.582063363,,2.50242712,2.660865478,,,,,,N,10.1016/j.jinf.2021.08.008 
PZ699,Obs,ConvWT,,1,WT,55,60,2.008600172,,1.812913357,2.204119983,,,,,,N,10.1016/j.jinf.2021.08.008 
PZ709,Obs,SV,,1,WT,36,28,0.740362689,,0.698970004,0.785329835,,,,,,Y,10.3390/vaccines9121442
PZ709,Obs,SV,,1,Delta,36,28,0.770852012,,0.698970004,0.84509804,,,,,,Y,10.3390/vaccines9121442
PZ709,Obs,SV_SV28,,1,WT,36,28,1.08278537,,0.995635195,1.173186268,,,,,,Y,10.3390/vaccines9121442
PZ709,Obs,SV_SV28,,1,Delta,36,28,0.819543936,,0.740362689,0.892094603,,,,,,Y,10.3390/vaccines9121442
PZ709,Obs,PZ,,1,WT,34,21,1.06069784,,0.968482949,1.155336037,,,,,,Y,10.3390/vaccines9121442
PZ709,Obs,PZ,,1,Delta,34,21,0.838849091,,0.763427994,0.913813852,,,,,,Y,10.3390/vaccines9121442
PZ709,Obs,PZ_PZ21,,1,WT,34,35,1.911690159,,1.781036939,2.042575512,,,,,,N,10.3390/vaccines9121442
PZ709,Obs,PZ_PZ21,,1,Delta,34,35,1.725911632,,1.591064607,1.860338007,,,,,,Y,10.3390/vaccines9121442
PZ709,Obs,ConvNR,,1,WT,79,0,1.77815125,,1.667452953,1.888740961,,,,,,N,10.3390/vaccines9121442
PZ709,Obs,ConvNR,,1,WT,79,42,1.626340367,,1.527629901,1.72427587,,,,,,N,10.3390/vaccines9121442
PZ709,Obs,ConvNR,,1,WT,79,72,1.552668216,,1.437750563,1.667452953,,,,,,N,10.3390/vaccines9121442
PZ709,Obs,ConvNR,,1,WT,40,180,1.530199698,,1.419955748,1.640481437,,,,,,N,10.3390/vaccines9121442
PZ709,Obs,ConvNR,,1,WT,8,365,1.26245109,,0.959041392,1.567026366,,,,,,N,10.3390/vaccines9121442
PZ727,Obs,AZ_AZ56,,1.301029996,WT,15,28,2.787460475,2.769377326,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,AZ_AZ56,,1.301029996,Delta,15,28,2.744292983,2.772321707,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,AZ_AZ56,,1.301029996,Beta,15,28,2.674861141,2.596597096,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,AZ_AZ56,,1.301029996,Omicron,15,28,1.556302501,1.672097858,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,AZ_AZ56,,1.301029996,WT,15,180,2.505149978,2.582063363,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,AZ_AZ56,,1.301029996,Delta,15,180,2.387389826,2.565847819,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,AZ_AZ56,,1.301029996,Beta,15,180,2.399673721,2.599883072,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,AZ_AZ56,,1.301029996,Omicron,15,180,1.414973348,1.62324929,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,PZ_PZ21,,1.301029996,WT,14,28,3.193124598,3.326949994,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,PZ_PZ21,,1.301029996,Delta,14,28,3.187802639,3.202215776,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,PZ_PZ21,,1.301029996,Beta,14,28,2.678518379,2.571708832,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,PZ_PZ21,,1.301029996,Omicron,14,28,1.698970004,1.838849091,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,PZ_PZ21,,1.301029996,WT,13,180,2.612783857,2.808885867,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,PZ_PZ21,,1.301029996,Delta,13,180,2.419955748,2.480006943,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,PZ_PZ21,,1.301029996,Beta,13,180,2.629409599,2.874481818,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,PZ_PZ21,,1.301029996,Omicron,13,180,1.462397998,1.602059991,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,JJ_PZ85,,1.301029996,WT,15,28,3.694692926,3.770483809,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,JJ_PZ85,,1.301029996,Delta,15,28,3.645716939,3.770262738,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,JJ_PZ85,,1.301029996,Beta,15,28,3.27600199,2.935507266,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,JJ_PZ85,,1.301029996,Omicron,15,28,2.485721426,2.614897216,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,MD_MD28_PZ214,,1.301029996,WT,9,14,3.820135752,3.516931809,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,MD_MD28_PZ214,,1.301029996,Delta,9,14,3.854913022,3.703205371,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,MD_MD28_PZ214,,1.301029996,Beta,9,14,3.490099005,2.678518379,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,MD_MD28_PZ214,,1.301029996,Omicron,9,14,2.813580989,2.773054693,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,ConvWT,,1.301029996,WT,15,180,2.829303773,2.912753304,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,ConvWT,,1.301029996,Delta,15,180,2.812244697,2.707570176,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,ConvWT,,1.301029996,Beta,15,180,2.86332286,2.843855423,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ727,Obs,ConvWT,,1.301029996,Omicron,15,180,2.152288344,2.352182518,,,,,,,,N,10.1126/sciimmunol.abo2202
PZ749,Obs,PZ_PZ21,,NR,WT,5,7,,,,,3.246055197,3.009025742,3.293362555,,,N,10.1128/mBio.00696-21
PZ749,Obs,PZ_PZ21,,NR,Alpha,5,7,,,,,3.21940113,2.981365509,3.434616802,,,N,10.1128/mBio.00696-21
PZ749,Obs,ConvWT,,NR,WT,28,,2.18920949,1.914871818,,,,,,,,N,10.1128/mBio.00696-21
PZ749,Obs,ConvWT,,NR,Alpha,18,,2.018700499,1.699837726,,,,,,,,N,10.1128/mBio.00696-21
PZ794,Obs,PZ,,1,WT,13,20,,,,,0.698970004,0.698970004,1.161368002,,,Y,10.1016/j.ijid.2021.08.052
PZ794,Obs,PZ_PZ21,,1,WT,13,20,,,,,2.245512668,1.976349979,2.476686743,,,N,10.1016/j.ijid.2021.08.052
PZ794,Obs,PZ_PZ21,,1,WT,13,90,,,,,1.301029996,1.243038049,1.568201724,,,N,10.1016/j.ijid.2021.08.052
PZ794,Obs,ConvWT,,1,WT,23,90,,,,,1.462397998,1.012837225,2.084218687,,,N,10.1016/j.ijid.2021.08.052
PZ870,Obs,PZ,,1.602059991,WT,9,17,2.126456113,2.108226656,,,,,,,,Y,10.1038/s41467-021-23473-6 
PZ870,Obs,PZ,,1.602059991,Beta,9,17,1.64738297,1.123851641,,,,,,,,Y,10.1038/s41467-021-23473-6 
PZ870,Obs,PZ_PZ21,,1.602059991,WT,7,12,3.362557867,3.191367166,,,,,,,,N,10.1038/s41467-021-23473-6 
PZ870,Obs,PZ_PZ21,,1.602059991,Beta,7,12,2.658869592,2.731266349,,,,,,,,N,10.1038/s41467-021-23473-6 
PZ870,Obs,ConvBeta,,1.602059991,WT,6,14,3.303347278,3.202052169,,,,,,,,N,10.1038/s41467-021-23473-6 
PZ870,Obs,ConvBeta,,1.602059991,Beta,6,14,2.561339941,2.433609843,,,,,,,,N,10.1038/s41467-021-23473-6 
PZ880,Obs,PZ_PZ21,,NR,WT,15,7,3.263636069,2.993876915,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Alpha,15,7,3.246498581,2.914871818,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Beta,15,7,2.791690649,2.595496222,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Delta,15,7,2.854913022,2.549003262,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Delta,15,7,2.857332496,2.639486489,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Lambda,15,7,2.859738566,2.700703717,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,WT,9,90,2.841984805,2.567026366,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Alpha,9,90,2.796574333,2.434568904,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Beta,9,90,2.056904851,1.929418926,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Delta,9,90,2.281033367,2.008600172,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Delta,9,90,2.403120521,2.206825876,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,PZ_PZ21,,NR,Lambda,9,90,2.214843848,2.056904851,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,ConvNR,,NR,WT,8,45,2.539076099,2.240549248,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,ConvNR,,NR,Alpha,8,45,2.484299839,2.152288344,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,ConvNR,,NR,Beta,8,45,4.561950053,1.505149978,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,ConvNR,,NR,Delta,8,45,1.892094603,1.748188027,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,ConvNR,,NR,Delta,8,45,2.021189299,1.414973348,,,,,,,,N,10.3389/fimmu.2022.797589
PZ880,Obs,ConvNR,,NR,Lambda,8,45,2.021189299,1.819543936,,,,,,,,N,10.3389/fimmu.2022.797589
PZ901,Obs,PZ,,NR,WT,37,21,1.892094603,2.599664779,,,,,,,,N,10.1038/s41586-021-03412-7 
PZ901,Obs,PZ,,NR,Alpha,37,21,1.691965103,2.31344537,,,,,,,,N,10.1038/s41586-021-03412-7 
PZ901,Obs,PZ_PZ21,,NR,WT,21,21,2.557627488,2.705093611,,,,,,,,N,10.1038/s41586-021-03412-7 
PZ901,Obs,PZ_PZ21,,NR,Alpha,21,21,2.331427297,2.451939869,,,,,,,,N,10.1038/s41586-021-03412-7 
PZ901,Obs,PZ_PZ21,,NR,WT,27,,3.107379583,3.557723694,,,,,,,,N,10.1038/s41586-021-03412-7 
PZ901,Obs,PZ_PZ21,,NR,Alpha,27,,2.734159513,3.216113097,,,,,,,,N,10.1038/s41586-021-03412-7 
PZ911,Obs,PZ_PZ21_PZ,,0.903089987,WT,15,140,2.548757829,,2.260786669,2.836513999,,,,,,N,10.2807/1560-7917.ES.2022.27.30.2200559
PZ911,Obs,PZ_PZ21_PZ,,0.903089987,Omicron,15,140,1.08278537,,0.716003344,1.450249108,,,,,,N,10.2807/1560-7917.ES.2022.27.30.2200559
PZ911,Obs,PZ_PZ21_PZ,,0.903089987,Omicron,15,140,1.944975908,,1.715167358,2.175511813,,,,,,N,10.2807/1560-7917.ES.2022.27.30.2200559
PZ911,Obs,PZ_PZ21_PZ,,0.903089987,Omicron,15,140,1.029383778,,0.681241237,1.378397901,,,,,,N,10.2807/1560-7917.ES.2022.27.30.2200559
PZ911,Obs,PZ_PZ21_PZ,,0.903089987,Omicron,15,140,0.556302501,,0.079181246,1.004321374,,,,,,Y,10.2807/1560-7917.ES.2022.27.30.2200559
PZ911,Obs,PZ_PZ21_PZ_PZ,,0.903089987,WT,15,15,3.471878199,,3.220892249,3.722880611,,,,,,N,10.2807/1560-7917.ES.2022.27.30.2200559
PZ911,Obs,PZ_PZ21_PZ_PZ,,0.903089987,Omicron,15,15,2.22762965,,1.984977126,2.469969209,,,,,,N,10.2807/1560-7917.ES.2022.27.30.2200559
PZ911,Obs,PZ_PZ21_PZ_PZ,,0.903089987,Omicron,15,15,2.639785213,,2.415140352,2.864511081,,,,,,N,10.2807/1560-7917.ES.2022.27.30.2200559
PZ911,Obs,PZ_PZ21_PZ_PZ,,0.903089987,Omicron,15,15,1.870403905,,1.605305046,2.136403448,,,,,,N,10.2807/1560-7917.ES.2022.27.30.2200559
